SCWX,Computer Sftwr-Security
SCX,Bldg-Hand Tools
SCYB,Finance-ETF / ETN
SCYX,Medical-Biomed/Biotech
SCZ,Finance-ETF / ETN
SD,Oil&Gas-U S Expl&Prod
SDA,Leisure-Services
SDAC,Finance-Blank Check
SDCCQ,Medical-Supplies
SDCI,Finance-ETF / ETN
SDCP,Finance-ETF / ETN
SDD,Finance-ETF / ETN
SDEM,Finance-ETF / ETN
SDG,Finance-ETF / ETN
SDGR,Medical-Research Eqp/Svc
SDHC,Bldg-Resident/Comml
SDHY,Finance-Publ Inv Fd-Bal
SDIG,Financial Svcs-Specialty
SDIV,Finance-ETF / ETN
SDOG,Finance-ETF / ETN
SDON,Finance-Blank Check
SDOT,Retail-Restaurants
SDOW,Finance-ETF / ETN
SDP,Finance-ETF / ETN
SDPI,Oil&Gas-Machinery/Equip
SDRL,Oil&Gas-Drilling
SDS,Finance-ETF / ETN
SDSI,Finance-ETF / ETN
SDVD,Finance-ETF / ETN
SDVY,Finance-ETF / ETN
SDY,Finance-ETF / ETN
SE,Retail-Internet
SEA,Finance-ETF / ETN
SEAC,Telecom-Cable/Satl Eqp
SEAT,Leisure-Travel Booking
SEB,Diversified Operations
SECD,Finance-ETF / ETN
SECO,Retail-Internet
SECT,Finance-ETF / ETN
SEDA,Finance-Blank Check
SEDG,Energy-Solar
SEE,Containers/Packaging
SEED,Agricultural Operations
SEEL,Medical-Biomed/Biotech
SEER,Medical-Biomed/Biotech
SEF,Finance-ETF / ETN
SEIC,Finance-Investment Mgmt
SEIM,Finance-ETF / ETN
SEIQ,Finance-ETF / ETN
SEIV,Finance-ETF / ETN
SEIX,Finance-ETF / ETN
SELF,Finance-Property REIT
SELV,Finance-ETF / ETN
SELX,Electronic-Parts
SEM,Medical-Hospitals
SEMI,Finance-ETF / ETN
SEMR,Internet-Content
SENEA,Food-Packaged
SENEB,Food-Packaged
SENS,Medical-Products
SEPA,Finance-Blank Check
SEPT,Finance-ETF / ETN
SEPW,Finance-ETF / ETN
SEPZ,Finance-ETF / ETN
SEQL,Medical-Services
SER,Medical-Biomed/Biotech
SERA,Medical-Services
SES,Electrical-Power/Equipmt
SESG,Finance-ETF / ETN
SETH,Finance-ETF / ETN
SETM,Finance-ETF / ETN
SEVCQ,Auto Manufacturers
SEVN,Finance-Mortgage REIT
SEZL,Financial Svcs-Specialty
SF,Finance-Invest Bnk/Bkrs
SFBC,Banks-West/Southwest
SFBS,Banks-Southeast
SFEB,Finance-ETF / ETN
SFES,Finance-Investment Mgmt
SFIG,Finance-ETF / ETN
SFIX,Retail-Internet
SFL,Oil&Gas-Transprt/Pipelne
SFLO,Finance-ETF / ETN
SFLR,Finance-ETF / ETN
SFM,Retail-Super/Mini Mkts
SFNC,Banks-Southeast
SFRT,Real Estate Dvlpmt/Ops
SFST,Banks-Southeast
SFTBY,Telecom Svcs- Foreign
SFTGQ,Retail/Whlsle-Automobile
SFWL,Transportation-Logistics
SFY,Finance-ETF / ETN
SFYF,Finance-ETF / ETN
SFYX,Finance-ETF / ETN
SG,Retail-Restaurants
SGA,Media-Radio/Tv
SGAPY,Telecom Svcs- Foreign
SGBX,Metal Proc & Fabrication
SGC,Comml Svcs-Outsourcing
SGD,Real Estate Dvlpmt/Ops
SGDJ,Finance-ETF / ETN
SGDM,Finance-ETF / ETN
SGE,Elec-Misc Products
SGGFF,Finance-ETF / ETN
SGH,Computer-Data Storage
SGHC,Leisure-Gaming/Equip
SGHT,Medical-Systems/Equip
SGIOY,Medical-Ethical Drugs
SGLC,Finance-ETF / ETN
SGLY,Transportation-Logistics
SGMA,Elec-Contract Mfg
SGML,Mining-Metal Ores
SGMO,Medical-Biomed/Biotech
SGMT,Medical-Biomed/Biotech
SGN,Computer Sftwr-Edu/Media
SGOL,Finance-ETF / ETN
SGOV,Finance-ETF / ETN
SGRP,Comml Svcs-Advertising
SGRY,Medical-Hospitals
SGSOY,Comml Svcs-Consulting
SGU,Oil&Gas-Refining/Mktg
SH,Finance-ETF / ETN
SHAG,Finance-ETF / ETN
SHAK,Retail-Restaurants
SHBI,Banks-Northeast
SHC,Medical-Services
SHCO,Leisure-Services
SHCR,Computer Sftwr-Medical
SHDG,Finance-ETF / ETN
SHE,Finance-ETF / ETN
SHECY,Chemicals-Specialty
SHEL,Oil&Gas-Integrated
SHEN,Telecom Svcs-Wireless
SHFS,Comml Svcs-Outsourcing
SHG,Banks-Foreign
SHIM,Bldg-Heavy Construction
SHIP,Transportation-Ship
SHLD,Finance-ETF / ETN
SHLS,Energy-Solar
SHLT,Medical-Systems/Equip
SHM,Finance-ETF / ETN
SHNY,Finance-ETF / ETN
SHO,Finance-Property REIT
SHOC,Finance-ETF / ETN
SHOO,Apparel-Shoes & Rel Mfg
SHOP,Computer Sftwr-Enterprse
SHOT,Medical-Biomed/Biotech
SHPH,Medical-Biomed/Biotech
SHPP,Finance-ETF / ETN
SHPW,Machinery-Mtl Hdlg/Autmn
SHRT,Finance-ETF / ETN
SHRY,Finance-ETF / ETN
SHTDY,Medical-Diversified
SHUS,Finance-ETF / ETN
SHV,Finance-ETF / ETN
SHW,Chemicals-Paints
SHWZ,Comml Svcs-Consulting
SHY,Finance-ETF / ETN
SHYD,Finance-ETF / ETN
SHYF,Trucks & Parts-Hvy Duty
SHYG,Finance-ETF / ETN
SHYL,Finance-ETF / ETN
SHZHY,Apparel-Clothing Mfg
SIBN,Medical-Systems/Equip
SICP,Banks-West/Southwest
SID,Steel-Producers
SIDU,Telecom-Cable/Satl Eqp
SIEB,Finance-Invest Bnk/Bkrs
SIEGY,Diversified Operations
SIENQ,Medical-Products
SIF,Aerospace/Defense
SIFI,Finance-ETF / ETN
SIFY,Telecom Svcs- Foreign
SIG,Retail/Whlsle-Jewelry
SIGA,Medical-Biomed/Biotech
SIGI,Insurance-Prop/Cas/Titl
SIHY,Finance-ETF / ETN
SII,Finance-Investment Mgmt
SIJ,Finance-ETF / ETN
SIL,Finance-ETF / ETN
SILC,Computer-Networking
SILJ,Finance-ETF / ETN
SILK,Medical-Products
SILO,Medical-Biomed/Biotech
SILV,Mining-Gold/Silver/Gems
SILX,Finance-ETF / ETN
SIM,Steel-Producers
SIMO,Computer-Data Storage
SIMS,Finance-ETF / ETN
SING,Energy-Solar
SINT,Medical-Products
SIO,Finance-ETF / ETN
SIRI,Telecom Svcs-Cable/Satl
SISI,Medical-Biomed/Biotech
SITC,Finance-Property REIT
SITE,Retail/Whlsle-Bldg Prds
SITM,Elec-Semicondctor Fablss
SIVBQ,Banks-Super Regional
SIVR,Finance-ETF / ETN
SIX,Leisure-Services
SIXA,Finance-ETF / ETN
SIXF,Finance-ETF / ETN
SIXH,Finance-ETF / ETN
SIXJ,Finance-ETF / ETN
SIXL,Finance-ETF / ETN
SIXO,Finance-ETF / ETN
SIXP,Finance-ETF / ETN
SIXS,Finance-ETF / ETN
SIZE,Finance-ETF / ETN
SJ,Internet-Content
SJB,Finance-ETF / ETN
SJM,Food-Packaged
SJNK,Finance-ETF / ETN
SJR,Telecom Svcs-Cable/Satl
SJT,Oil&Gas-Royalty Trust
SJW,Utility-Water Supply
SKE,Mining-Gold/Silver/Gems
SKF,Finance-ETF / ETN
SKGR,Finance-Blank Check
SKHSY,Bldg-Resident/Comml
SKIL,Consumer Svcs-Education
SKIN,Cosmetics/Personal Care
SKLZ,Leisure-Gaming/Equip
SKM,Telecom Svcs- Foreign
SKOR,Finance-ETF / ETN
SKRE,Finance-ETF / ETN
SKT,Finance-Property REIT
SKWD,Insurance-Prop/Cas/Titl
SKX,Apparel-Shoes & Rel Mfg
SKY,Bldg-Mobile/Mfg & Rv
SKYH,Bldg-Heavy Construction
SKYT,Elec-Semiconductor Mfg
SKYU,Finance-ETF / ETN
SKYW,Transportation-Airline
SKYX,Electrical-Power/Equipmt
SKYY,Finance-ETF / ETN
SLAB,Elec-Semicondctor Fablss
SLAM,Finance-Blank Check
SLB,Oil&Gas-Field Services
SLCA,Chemicals-Specialty
SLDB,Medical-Biomed/Biotech
SLDP,Electrical-Power/Equipmt
SLE,Internet-Content
SLF,Insurance-Life
SLG,Finance-Property REIT
SLGL,Medical-Biomed/Biotech
SLGN,Containers/Packaging
SLHGF,Group not available
SLI,Mining-Metal Ores
SLM,Finance-Consumer Loans
SLN,Medical-Biomed/Biotech
SLNA,Leisure-Lodging
SLND,Bldg-Heavy Construction
SLNG,Oil&Gas-Integrated
SLNH,Elec-Scientific/Msrng
SLNO,Medical-Products
SLP,Computer Sftwr-Medical
SLQD,Finance-ETF / ETN
SLQT,Insurance-Brokers
SLRC,Finance-Investment Mgmt
SLRN,Medical-Biomed/Biotech
SLRX,Medical-Biomed/Biotech
SLS,Medical-Biomed/Biotech
SLV,Finance-ETF / ETN
SLVM,Containers/Packaging
SLVO,Finance-ETF / ETN
SLVP,Finance-ETF / ETN
SLX,Finance-ETF / ETN
SLYG,Finance-ETF / ETN
SLYV,Finance-ETF / ETN
SM,Oil&Gas-U S Expl&Prod
SMAR,Computer Sftwr-Enterprse
SMAY,Finance-ETF / ETN
SMB,Finance-ETF / ETN
SMBC,Banks-Midwest
SMBK,Banks-Southeast
SMCAY,Machinery-Mtl Hdlg/Autmn
SMCF,Finance-ETF / ETN
SMCI,Computer-Hardware/Perip
SMCO,Finance-ETF / ETN
SMCP,Finance-ETF / ETN
SMDD,Finance-ETF / ETN
SMDV,Finance-ETF / ETN
SMDY,Finance-ETF / ETN
SMFG,Banks-Money Center
SMFL,Cosmetics/Personal Care
SMG,Chemicals-Agricultural
SMH,Finance-ETF / ETN
SMHB,Finance-ETF / ETN
SMHI,Transportation-Ship
SMI,Finance-ETF / ETN
SMID,Bldg-Cement/Concrt/Ag
SMIG,Finance-ETF / ETN
SMIN,Finance-ETF / ETN
SMIT,Group not available
SMIZ,Finance-ETF / ETN
SMLE,Finance-ETF / ETN
SMLF,Finance-ETF / ETN
SMLP,Oil&Gas-Transprt/Pipelne
SMLR,Medical-Products
SMLV,Finance-ETF / ETN
SMMD,Finance-ETF / ETN
SMMF,Banks-Southeast
SMMT,Medical-Biomed/Biotech
SMMU,Finance-ETF / ETN
SMMV,Finance-ETF / ETN
SMMYY,Mining-Metal Ores
SMN,Finance-ETF / ETN
SMNNY,Leisure-Products
SMOG,Finance-ETF / ETN
SMOT,Finance-ETF / ETN
SMP,Auto/Truck-Replace Parts
SMPL,Food-Confectionery
SMPNY,Insurance-Prop/Cas/Titl
SMR,Energy-Alternative/Other
SMRI,Finance-ETF / ETN
SMRT,Security/Sfty
SMSEY,Apparel-Clothing Mfg
SMSI,Internet-Network Sltns
SMSMY,Metal Proc & Fabrication
SMTC,Elec-Semicondctor Fablss
SMTH,Finance-ETF / ETN
SMTI,Medical-Products
SMTSF,Group not available
SMWB,Computer Sftwr-Database
SMX,Internet-Network Sltns
SMXT,Energy-Solar
SN,Hsehold-Appliances/Wares
SNA,Bldg-Hand Tools
SNAL,Computer Sftwr-Gaming
SNAP,Internet-Content
SNAV,Finance-ETF / ETN
SNAX,Food-Packaged
SNBR,Retail-Home Furnishings
SNCR,Computer Sftwr-Enterprse
SNCY,Transportation-Airline
SND,Chemicals-Specialty
SNDA,Medical-Long-term Care
SNDL,Consumer Prod-Specialty
SNDR,Transportation-Logistics
SNDX,Medical-Biomed/Biotech
SNES,Medical-Biomed/Biotech
SNEX,Finance-Invest Bnk/Bkrs
SNFCA,Finance-Mrtg&Rel Svc
SNGX,Medical-Biomed/Biotech
SNN,Medical-Products
SNOA,Medical-Products
SNOV,Finance-ETF / ETN
SNOW,Computer Sftwr-Enterprse
SNPD,Finance-ETF / ETN
SNPE,Finance-ETF / ETN
SNPG,Finance-ETF / ETN
SNPHY,Medical-Ethical Drugs
SNPO,Security/Sfty
SNPS,Computer Sftwr-Design
SNPV,Finance-ETF / ETN
SNPX,Medical-Biomed/Biotech
SNSE,Medical-Biomed/Biotech
SNSR,Finance-ETF / ETN
SNT,Security/Sfty
SNTG,Finance-Consumer Loans
SNTI,Medical-Biomed/Biotech
SNV,Banks-Southeast
SNX,Wholesale-Electronics
SNY,Medical-Ethical Drugs
SO,Utility-Electric Power
SOAR,Aerospace/Defense
SOBKY,Telecom Svcs-Cable/Satl
SOBR,Computer-Integrated Syst
SOC,Oil&Gas-Integrated
SOCL,Finance-ETF / ETN
SOF,Finance-ETF / ETN
SOFI,Finance-Consumer Loans
SOFO,Computer Sftwr-Desktop
SOGP,Internet-Content
SOHO,Finance-Property REIT
SOHU,Computer Sftwr-Gaming
SOI,Chemicals-Specialty
SOL,Energy-Solar
SOLR,Finance-ETF / ETN
SOLV,Medical-Products
SOMLY,Security/Sfty
SON,Containers/Packaging
SOND,Leisure-Travel Booking
SONM,Telecom-Consumer Prods
SONN,Medical-Biomed/Biotech
SONO,Consumer Prod-Electronic
SONX,Medical-Systems/Equip
SONY,Media-Diversified
SOPA,Internet-Content
SOPH,Medical-Biomed/Biotech
SOR,Finance-Publ Inv Fd-Bal
SOS,Financial Svcs-Specialty
SOTGY,Electrical-Power/Equipmt
SOTK,Machinery-Gen Industrial
SOUN,Computer-Tech Services
SOVF,Finance-ETF / ETN
SOXL,Finance-ETF / ETN
SOXQ,Finance-ETF / ETN
SOXS,Finance-ETF / ETN
SOXX,Finance-ETF / ETN
SOYB,Finance-ETF / ETN
SP,Comml Svcs-Outsourcing
SPAB,Finance-ETF / ETN
SPAM,Finance-ETF / ETN
SPAQ,Finance-ETF / ETN
SPAX,Finance-ETF / ETN
SPB,Bldg-Constr Prds/Misc
SPBC,Finance-ETF / ETN
SPBO,Finance-ETF / ETN
SPC,Finance-ETF / ETN
SPCB,Security/Sfty
SPCE,Aerospace/Defense
SPCX,Finance-ETF / ETN
SPCZ,Finance-ETF / ETN
SPD,Finance-ETF / ETN
SPDG,Finance-ETF / ETN
SPDN,Finance-ETF / ETN
SPDV,Finance-ETF / ETN
SPDW,Finance-ETF / ETN
SPE,Finance-Publ Inv Fd-Bond
SPEC,Pollution Control
SPEM,Finance-ETF / ETN
SPEU,Finance-ETF / ETN
SPFF,Finance-ETF / ETN
SPFI,Banks-West/Southwest
SPG,Finance-Property REIT
SPGC,Leisure-Products
SPGI,Comml Svcs-Market Rsrch
SPGM,Finance-ETF / ETN
SPGP,Finance-ETF / ETN
SPH,Oil&Gas-Refining/Mktg
SPHB,Finance-ETF / ETN
SPHD,Finance-ETF / ETN
SPHQ,Finance-ETF / ETN
SPHR,Leisure-Services
SPHY,Finance-ETF / ETN
SPI,Energy-Solar
SPIB,Finance-ETF / ETN
SPIP,Finance-ETF / ETN
SPIR,Aerospace/Defense
SPKKY,Telecom Svcs- Foreign
SPKL,Finance-Blank Check
SPKX,Finance-ETF / ETN
SPKY,Finance-ETF / ETN
SPLB,Finance-ETF / ETN
SPLG,Finance-ETF / ETN
SPLP,Finance-Investment Mgmt
SPLV,Finance-ETF / ETN
SPMB,Finance-ETF / ETN
SPMD,Finance-ETF / ETN
SPMO,Finance-ETF / ETN
SPMV,Finance-ETF / ETN
SPNS,Computer-Tech Services
SPNT,Insurance-Prop/Cas/Titl
SPOK,Telecom Svcs-Wireless
SPOT,Computer Sftwr-Edu/Media
SPPJY,Paper & Paper Products
SPPL,Computer-Integrated Syst
SPPP,Finance-ETF / ETN
SPQ,Finance-ETF / ETN
SPR,Aerospace/Defense
SPRB,Medical-Biomed/Biotech
SPRC,Medical-Biomed/Biotech
SPRE,Finance-ETF / ETN
SPRO,Medical-Biomed/Biotech
SPRU,Energy-Solar
SPRX,Finance-ETF / ETN
SPRY,Medical-Biomed/Biotech
SPSB,Finance-ETF / ETN
SPSC,Comp Sftwr-Spec Enterprs
SPSK,Finance-ETF / ETN
SPSM,Finance-ETF / ETN
SPT,Computer Sftwr-Enterprse
SPTE,Finance-ETF / ETN
SPTI,Finance-ETF / ETN
SPTL,Finance-ETF / ETN
SPTM,Finance-ETF / ETN
SPTN,Retail-Super/Mini Mkts
SPTS,Finance-ETF / ETN
SPUC,Finance-ETF / ETN
SPUS,Finance-ETF / ETN
SPUU,Finance-ETF / ETN
SPVM,Finance-ETF / ETN
SPVU,Finance-ETF / ETN
SPWH,Retail-Leisure Products
SPWO,Finance-ETF / ETN
SPWR,Energy-Solar
SPXB,Finance-ETF / ETN
SPXC,Machinery-Gen Industrial
SPXE,Finance-ETF / ETN
SPXL,Finance-ETF / ETN
SPXN,Finance-ETF / ETN
SPXS,Finance-ETF / ETN
SPXT,Finance-ETF / ETN
SPXU,Finance-ETF / ETN
SPXV,Finance-ETF / ETN
SPXX,Finance-Publ Inv Fd-Eqt
SPY,Finance-ETF / ETN
SPYC,Finance-ETF / ETN
SPYD,Finance-ETF / ETN
SPYG,Finance-ETF / ETN
SPYI,Finance-ETF / ETN
SPYT,Finance-ETF / ETN
SPYV,Finance-ETF / ETN
SPYX,Finance-ETF / ETN
SQ,Finance-CrdtCard/PmtPr
SQEW,Finance-ETF / ETN
SQFT,Finance-Property REIT
SQLV,Finance-ETF / ETN
SQM,Chemicals-Agricultural
SQNS,Elec-Semicondctor Fablss
SQQQ,Finance-ETF / ETN
SQSP,Computer Sftwr-Enterprse
SQY,Finance-ETF / ETN
SQZB,Medical-Biomed/Biotech
SR,Utility-Gas Distribution
SRAD,Leisure-Gaming/Equip
SRAX,Comml Svcs-Advertising
SRBK,Banks-Northeast
SRCE,Banks-Midwest
SRCL,Pollution Control
SRDX,Medical-Products
SRE,Utility-Diversified
SRET,Finance-ETF / ETN
SRFM,Transportation-Airline
SRG,Finance-Property REIT
SRGHY,Retail-Super/Mini Mkts
SRHQ,Finance-ETF / ETN
SRHR,Finance-ETF / ETN
SRI,Auto/Truck-Original Eqp
SRL,Financial Svcs-Specialty
SRLN,Finance-ETF / ETN
SRM,Leisure-Toys/Games/Hobby
SRNEQ,Medical-Biomed/Biotech
SROI,Finance-ETF / ETN
SRPT,Medical-Biomed/Biotech
SRRK,Medical-Biomed/Biotech
SRS,Finance-ETF / ETN
SRTS,Medical-Systems/Equip
SRTY,Finance-ETF / ETN
SRV,Finance-Publ Inv Fd-Eqt
SRVR,Finance-ETF / ETN
SRZN,Medical-Biomed/Biotech
SSB,Banks-Southeast
SSBI,Finance-Savings & Loan
SSBK,Banks-Southeast
SSD,Bldg-Constr Prds/Misc
SSDOY,Cosmetics/Personal Care
SSFI,Finance-ETF / ETN
SSG,Finance-ETF / ETN
SSIC,Finance-Blank Check
SSKN,Medical-Systems/Equip
SSL,Oil&Gas-Refining/Mktg
SSLY,Finance-ETF / ETN
SSLZY,Oil&Gas-Intl Expl&Prod
SSMXY,Medical-Systems/Equip
SSNC,Computer Sftwr-Financial
SSNT,Comml Svcs-Consulting
SSO,Finance-ETF / ETN
SSP,Media-Radio/Tv
SSPX,Finance-ETF / ETN
SSPY,Finance-ETF / ETN
SSREY,Insurance-Diversified
SSRM,Mining-Gold/Silver/Gems
SSSS,Finance-Investment Mgmt
SST,Comml Svcs-Advertising
SSTI,Security/Sfty
SSTK,Retail-Internet
SSUMY,Diversified Operations
SSUNF,Retail-Internet
SSUS,Finance-ETF / ETN
SSXU,Finance-ETF / ETN
SSY,Medical-Hospitals
SSYS,Machinery-Mtl Hdlg/Autmn
ST,Elec-Misc Products
STAA,Medical-Products
STAB,Group not available
STAF,Comml Svcs-Staffing
STAG,Finance-Property REIT
STAX,Finance-ETF / ETN
STBA,Banks-Northeast
STBFY,Beverages-Non-Alcoholic
STBX,Computer Sftwr-Enterprse
STC,Insurance-Prop/Cas/Titl
STCE,Finance-ETF / ETN
STCN,Computer Sftwr-Enterprse
STE,Medical-Systems/Equip
STEL,Banks-West/Southwest
STEM,Comp Sftwr-Spec Enterprs
STEP,Finance-Investment Mgmt
STER,Computer Sftwr-Security
STEW,Finance-Publ Inv Fd-Eqt
STG,Consumer Svcs-Education
STGW,Comml Svcs-Advertising
STHO,Finance-Property REIT
STI,Energy-Alternative/Other
STIM,Medical-Biomed/Biotech
STIP,Finance-ETF / ETN
STIX,Computer Sftwr-Enterprse
STK,Finance-Publ Inv Fd-Eqt
STKH,Food-Meat Products
STKL,Food-Packaged
STKS,Retail-Restaurants
STLA,Auto Manufacturers
STLD,Steel-Producers
STLG,Finance-ETF / ETN
STM,Elec-Semiconductor Mfg
STN,Comml Svcs-Consulting
STNC,Finance-ETF / ETN
STNE,Finance-CrdtCard/PmtPr
STNG,Oil&Gas-Transprt/Pipelne
STOK,Medical-Biomed/Biotech
STOT,Finance-ETF / ETN
STPZ,Finance-ETF / ETN
STR,Oil&Gas-U S Expl&Prod
STRA,Consumer Svcs-Education
STRC,Elec-Misc Products
STRL,Bldg-Heavy Construction
STRM,Computer Sftwr-Medical
STRO,Medical-Biomed/Biotech
STRR,Medical-Systems/Equip
STRS,Real Estate Dvlpmt/Ops
STRT,Auto/Truck-Original Eqp
STRV,Finance-ETF / ETN
STRW,Finance-Property REIT
STSS,Medical-Supplies
STT,Finance-Investment Mgmt
STTK,Medical-Biomed/Biotech
STVN,Medical-Services
STWD,Finance-Mortgage REIT
STX,Computer-Data Storage
STXD,Finance-ETF / ETN
STXE,Finance-ETF / ETN
STXG,Finance-ETF / ETN
STXK,Finance-ETF / ETN
STXS,Medical-Systems/Equip
STXT,Finance-ETF / ETN
STXV,Finance-ETF / ETN
STZ,Beverages-Alcoholic
SU,Oil&Gas-Integrated
SUB,Finance-ETF / ETN
SUGP,Security/Sfty
SUHJY,Real Estate Dvlpmt/Ops
SUI,Finance-Property REIT
SUM,Bldg-Cement/Concrt/Ag
SUN,Oil&Gas-Refining/Mktg
SUNLQ,Finance-Consumer Loans
SUNWQ,Energy-Solar
SUP,Auto/Truck-Original Eqp
SUPL,Finance-ETF / ETN
SUPN,Medical-Biomed/Biotech
SUPP,Finance-ETF / ETN
SUPV,Banks-Foreign
SURE,Finance-ETF / ETN
SURG,Computer Sftwr-Enterprse
SURI,Finance-ETF / ETN
SUSA,Finance-ETF / ETN
SUSB,Finance-ETF / ETN
SUSC,Finance-ETF / ETN
SUSL,Finance-ETF / ETN
SUTNY,Banks-Money Center
SUZ,Paper & Paper Products
SVA,Medical-Biomed/Biotech
SVAL,Finance-ETF / ETN
SVC,Finance-Property REIT
SVII,Finance-Blank Check
SVIX,Finance-ETF / ETN
SVM,Mining-Gold/Silver/Gems
SVMH,Leisure-Products
SVNDY,Retail-Super/Mini Mkts
SVOL,Finance-ETF / ETN
SVRA,Medical-Biomed/Biotech
SVRE,Computer Sftwr-Security
SVT,Aerospace/Defense
SVV,Retail-Specialty
SVVC,Finance-Publ Inv Fd-Eqt
SVXY,Finance-ETF / ETN
SWAG,Comml Svcs-Advertising
SWAN,Finance-ETF / ETN
SWAV,Medical-Systems/Equip
SWBI,Security/Sfty
SWDBY,Banks-Foreign
SWGAY,Retail/Whlsle-Jewelry
SWI,Computer Sftwr-Enterprse
SWIM,Bldg-Constr Prds/Misc
SWIN,Finance-Invest Bnk/Bkrs
SWK,Bldg-Hand Tools
SWKH,Comml Svcs-Consulting
SWKS,Elec-Semiconductor Mfg
SWN,Oil&Gas-U S Expl&Prod
SWSS,Finance-Blank Check
SWTX,Medical-Biomed/Biotech
SWVL,Computer Sftwr-Enterprse
SWX,Utility-Gas Distribution
SWZ,Finance-Publ Inv Fd-Glbl
SXC,Energy-Coal
SXI,Machinery-Gen Industrial
SXQG,Finance-ETF / ETN
SXT,Food-Misc Preparation
SXTC,Medical-Ethical Drugs
SXTP,Medical-Ethical Drugs
SXUS,Finance-ETF / ETN
SY,Medical-Services
SYBT,Banks-Southeast
SYBX,Medical-Biomed/Biotech
SYF,Finance-Savings & Loan
SYII,Finance-ETF / ETN
SYK,Medical-Products
SYLD,Finance-ETF / ETN
SYM,Machinery-Gen Industrial
SYNA,Elec-Misc Products
SYNB,Finance-ETF / ETN
SYNX,Consumer Prod-Electronic
SYPR,Elec-Contract Mfg
SYRA,Medical-Services
SYRE,Medical-Biomed/Biotech
SYRS,Medical-Biomed/Biotech
SYT,Real Estate Dvlpmt/Ops
SYTA,Telecom-Consumer Prods
SYUS,Finance-ETF / ETN
SYY,Wholesale-Food
SZK,Finance-ETF / ETN
SZKMY,Auto Manufacturers
SZNE,Finance-ETF / ETN
T,Telecom Svcs-Integrated
TAC,Utility-Electric Power
TACK,Finance-ETF / ETN
TACT,Computer-Hardware/Perip
TAFI,Finance-ETF / ETN
TAFL,Finance-ETF / ETN
TAFM,Finance-ETF / ETN
TAGG,Finance-ETF / ETN
TAGS,Finance-ETF / ETN
TAIL,Finance-ETF / ETN
TAIT,Electronic-Parts
TAK,Medical-Ethical Drugs
TAL,Consumer Svcs-Education
TALK,Medical-Services
TALO,Oil&Gas-U S Expl&Prod
TAN,Finance-ETF / ETN
TANH,Chemicals-Specialty
TAOP,Security/Sfty
TAP,Beverages-Alcoholic
TAPA,Beverages-Alcoholic
TARA,Medical-Biomed/Biotech
TARK,Finance-ETF / ETN
TARO,Medical-Generic Drugs
TARS,Medical-Biomed/Biotech
TASK,Computer-Tech Services
TAST,Retail-Restaurants
TATT,Aerospace/Defense
TATYY,Food-Grain & Related
TAXF,Finance-ETF / ETN
TAXX,Finance-ETF / ETN
TAYD,Machinery-Gen Industrial
TBBB,Retail-Major Disc Chains
TBBK,Banks-Northeast
TBCP,Finance-Blank Check
TBF,Finance-ETF / ETN
TBFC,Finance-ETF / ETN
TBFG,Finance-ETF / ETN
TBG,Finance-ETF / ETN
TBI,Comml Svcs-Staffing
TBIL,Finance-ETF / ETN
TBIO,Medical-Research Eqp/Svc
TBJL,Finance-ETF / ETN
TBLA,Comml Svcs-Advertising
TBLD,Finance-Publ Inv Fd-Glbl
TBLL,Finance-ETF / ETN
TBLT,Bldg-Hand Tools
TBMC,Finance-Blank Check
TBNK,Finance-Savings & Loan
TBPH,Medical-Biomed/Biotech
TBRG,Computer Sftwr-Medical
TBT,Finance-ETF / ETN
TBUX,Finance-ETF / ETN
TBX,Finance-ETF / ETN
TC,Retail/Whlsle-Automobile
TCAF,Finance-ETF / ETN
TCBC,Banks-Southeast
TCBI,Banks-West/Southwest
TCBK,Banks-West/Southwest
TCBP,Medical-Biomed/Biotech
TCBS,Banks-West/Southwest
TCBX,Banks-West/Southwest
TCEHY,Internet-Content
TCFC,Banks-Northeast
TCHI,Finance-ETF / ETN
TCHP,Finance-ETF / ETN
TCI,Real Estate Dvlpmt/Ops
TCJH,Comml Svcs-Consulting
TCMD,Medical-Products
TCN,Real Estate Dvlpmt/Ops
TCNNF,Consumer Prod-Specialty
TCOA,Finance-Blank Check
TCOM,Leisure-Travel Booking
TCON,Medical-Biomed/Biotech
TCPC,Finance-Investment Mgmt
TCRT,Medical-Biomed/Biotech
TCRX,Medical-Biomed/Biotech
TCS,Retail-Home Furnishings
TCTM,Consumer Svcs-Education
TCX,Internet-Network Sltns
TD,Banks-Money Center
TDC,Computer Sftwr-Database
TDCX,Comml Svcs-Outsourcing
TDF,Finance-Publ Inv Fd-Glbl
TDG,Aerospace/Defense
TDI,Finance-ETF / ETN
TDIV,Finance-ETF / ETN
TDOC,Computer Sftwr-Medical
TDS,Telecom Svcs-Wireless
TDSB,Finance-ETF / ETN
TDSC,Finance-ETF / ETN
TDTF,Finance-ETF / ETN
TDTT,Finance-ETF / ETN
TDUP,Retail-Internet
TDV,Finance-ETF / ETN
TDVG,Finance-ETF / ETN
TDVI,Finance-ETF / ETN
TDW,Oil&Gas-Field Services
TDY,Aerospace/Defense
TEAF,Finance-Publ Inv Fd-Eqt
TEAM,Comp Sftwr-Spec Enterprs
TECB,Finance-ETF / ETN
TECH,Medical-Research Eqp/Svc
TECK,Mining-Metal Ores
TECL,Finance-ETF / ETN
TECS,Finance-ETF / ETN
TEF,Telecom Svcs- Foreign
TEI,Finance-Publ Inv Fd-Glbl
